date,weekday,is_weekend,weather_desc,temp,rain,snow,wind,cloud,total,male,female,sex_unknown,10s,20s,30s,40s,50s,60s,70s+,age_unknown,humid,is_rain,is_snow
2024-03-23,Saturday,1,흐림+비,13,0.1,0,2.3,6.4,69924,29010,20586,20328,4217,18553,16762,11172,8107,3213,591,7309,66,1,0
2024-03-24,Sunday,1,맑음,16.2,0,0,2.4,4.9,75199,30643,22320,22236,4673,20209,18193,12072,8068,3022,576,8386,42.5,0,0
2024-03-25,Monday,0,흐림+비,10.6,5.1,0,4,9.6,39864,17998,10563,11303,1865,9777,9559,7182,5496,2105,450,3430,63,1,0
2024-03-26,Tuesday,0,흐림+폭우,7.4,11.5,0,2.6,6.1,53049,22538,15127,15384,2807,13864,12729,8716,6746,2882,516,4789,77.3,1,0
2024-03-27,Wednesday,0,맑음,10.4,0,0,2,5.3,74194,31003,21634,21557,3660,18341,17378,12857,9908,4130,758,7162,68.4,0,0
2024-03-28,Thursday,0,흐림+비,10.3,1.9,0,1.8,8.5,54808,24301,14798,15709,3221,14080,12678,8953,7195,3031,524,5126,81.8,1,0
2024-03-29,Friday,0,맑음+비,7.6,1.4,0,2.8,4.8,55182,24485,14863,15834,3254,13592,12754,9473,7431,2998,546,5134,73,1,0
2024-03-30,Saturday,1,맑음,8.8,0,0,2.4,3.9,65276,27883,18484,18909,4140,17436,15324,10218,7754,3232,608,6564,56.5,0,0
2024-03-31,Sunday,1,맑음,10.6,0,0,1.9,1.6,70915,29583,20714,20618,4359,18814,17217,11611,7888,3013,505,7508,39.9,0,0
2024-04-01,Monday,0,맑음,12.2,0,0,1.8,0.3,77728,31703,23395,22630,3927,19763,18393,13181,9915,3962,762,7825,32,0,0
2024-04-02,Tuesday,0,맑음,15.4,0,0,2,3.1,83359,33770,25230,24359,4163,21197,19731,13970,10750,4374,798,8376,37.5,0,0
2024-04-03,Wednesday,0,흐림,16.6,0,0,1.8,7.8,78336,32225,23082,23029,4155,19813,18406,13085,10103,4195,750,7829,55.9,0,0
2024-04-04,Thursday,0,흐림,15.5,0,0,2.9,6.5,84371,34473,25208,24690,4232,21221,19757,14321,10927,4496,823,8594,52.1,0,0
2024-04-05,Friday,0,맑음,14,0,0,2.5,5.1,86771,35404,25910,25457,4813,21733,20315,14642,10906,4534,827,9001,51.3,0,0
2024-04-06,Saturday,1,맑음,12.7,0,0,1.9,3.9,83439,34100,25188,24151,5209,21803,20081,13390,9455,3728,722,9051,48.6,0,0
2024-04-07,Sunday,1,맑음,14.8,0,0,2,1,81097,32727,24536,23834,5226,21518,19611,13046,8927,3182,528,9059,33.4,0,0
2024-04-08,Monday,0,흐림,16.2,0,0,2.1,8.3,82777,33743,24871,24163,4371,21090,19475,13870,10447,4283,773,8468,46.5,0,0
2024-04-09,Tuesday,0,맑음,15.3,0,0,3.5,0.4,86233,34964,25912,25357,4559,21719,20201,14475,10980,4393,833,9073,32.4,0,0
2024-04-10,Wednesday,0,흐림,13.8,0,0,2.6,6,80769,33088,24305,23376,5010,21172,19307,13089,9318,3623,669,8581,62.6,0,0
2024-04-11,Thursday,0,맑음,15.5,0,0,1.8,5.3,80389,33283,23988,23118,4467,20415,18694,13453,10199,4251,755,8155,61,0,0
2024-04-12,Friday,0,맑음,17.2,0,0,2.1,1.9,87622,35778,26282,25562,4838,22017,20494,14796,11079,4583,817,8998,59.6,0,0
2024-04-13,Saturday,1,맑음,19.1,0,0,1.9,0,83522,34119,25151,24252,5078,22048,20066,13385,9396,3787,641,9121,52.4,0,0
2024-04-14,Sunday,1,맑음,20.8,0,0,1.9,3,78177,32091,23257,22829,5018,21074,18912,12468,8509,3107,557,8532,47.1,0,0
2024-04-15,Monday,0,흐림+폭우,16,17.1,0,2.5,8.6,41601,19579,10170,11852,2693,10510,9795,7037,5512,2056,378,3620,77.4,1,0
2024-04-16,Tuesday,0,흐림+비,13.3,2.3,0,2.5,6.3,67969,28709,19934,19326,3662,17520,15783,11251,8747,3721,652,6633,82.6,1,0
2024-04-17,Wednesday,0,맑음,15,0,0,2.2,4.6,81674,33637,24296,23741,4430,20305,19028,13861,10627,4435,791,8197,65.3,0,0
2024-04-18,Thursday,0,맑음,17.3,0,0,2.2,0,84161,34588,25257,24316,4529,20969,19746,14235,10821,4550,772,8539,53.3,0,0
2024-04-19,Friday,0,맑음,17.6,0,0,2.1,3.9,86562,35775,25698,25089,4860,21454,20124,14544,11228,4572,868,8912,51.8,0,0
2024-04-20,Saturday,1,흐림+비,14.9,4.8,0,3,9.8,30948,14993,7174,8781,1976,8383,6938,4691,4146,1834,283,2697,77.3,1,0
